ts	elapsed_s	icmp_status	icmp_rtt_ms	hp_status	hp_code	hp_connect_ms	hp_total_ms	hl_status	hl_code	hl_connect_ms	hl_total_ms	health_age_s	sse_bytes	wifi_rssi_dbm	wifi_disc	wifi_reconn	heap_kb	uptime_s
08:04:05	0	fail	-	fail	000	0.0	2004.3	fail	000	0.0	2003.9	0	38	-	-	-	-	-
08:04:17	12	fail	-	fail	000	0.0	2006.6	-	-	-	-	5	0	-	-	-	-	-
08:04:26	21	fail	-	fail	000	0.0	2006.2	-	-	-	-	10	0	-	-	-	-	-
08:04:35	30	fail	-	ok	200	1013.9	1075.3	ok	200	9.8	47.6	0	0	-68	1	0	8136	44
08:04:45	40	ok	-	fail	000	9.2	4006.1	-	-	-	-	5	1657	-68	1	0	8136	44
08:04:55	50	ok	-	fail	000	13.0	4004.7	-	-	-	-	10	1949	-68	1	0	8136	44
08:05:05	60	ok	-	fail	000	0.0	2005.9	fail	000	0.0	2006.1	0	2321	-68	1	0	8136	44
08:05:16	71	ok	-	fail	000	0.0	2005.5	-	-	-	-	5	1720	-68	1	0	8136	44
08:05:24	79	ok	-	fail	000	0.0	2007.1	-	-	-	-	10	1706	-68	1	0	8136	44
08:05:32	87	ok	-	fail	000	0.0	2006.0	-	-	-	-	15	1907	-68	1	0	8136	44
08:05:40	95	ok	-	fail	000	0.0	2006.6	fail	000	0.0	2006.1	0	2321	-68	1	0	8136	44
08:05:51	106	ok	-	fail	000	0.0	2005.8	-	-	-	-	5	1650	-68	1	0	8136	44
08:06:00	115	ok	-	fail	000	7.2	24.8	-	-	-	-	10	1262	-68	1	0	8136	44
08:06:06	121	ok	-	fail	000	34.7	43.5	-	-	-	-	15	1220	-68	1	0	8136	44
08:06:12	127	ok	-	fail	000	10.6	20.8	fail	000	17.0	21.9	0	1461	-68	1	0	8136	44
08:06:19	134	ok	-	fail	000	11.9	20.7	-	-	-	-	5	1248	-68	1	0	8136	44
08:06:25	140	ok	-	fail	000	8.9	15.2	-	-	-	-	10	1206	-68	1	0	8136	44
08:06:31	146	ok	-	fail	000	11.5	16.7	-	-	-	-	15	1206	-68	1	0	8136	44
08:06:37	152	ok	-	fail	000	9.4	16.2	-	-	-	-	20	1435	-68	1	0	8136	44
08:06:43	158	ok	-	fail	000	8.1	13.8	fail	000	7.1	12.0	0	1433	-68	1	0	8136	44
08:06:51	166	ok	-	fail	000	54.4	62.4	-	-	-	-	5	1234	-68	1	0	8136	44
08:06:57	172	ok	-	fail	000	6.8	13.1	-	-	-	-	10	1220	-68	1	0	8136	44
08:07:03	178	ok	-	fail	000	19.1	34.3	-	-	-	-	15	1206	-68	1	0	8136	44
08:07:09	184	ok	-	fail	000	11.1	18.2	-	-	-	-	20	1206	-68	1	0	8136	44
08:07:15	190	ok	-	fail	000	7.4	13.6	fail	000	18.1	23.3	0	1517	-68	1	0	8136	44
