ts       elapsed  | icmp_status icmp_rtt    | hp_status hp_code hp_connect_ms hp_total_ms   | hl_status hl_code hl_connect_ms hl_total_ms   health_age_s | sse_bytes  | wifi_rssi_dbm wifi_disc  wifi_reconn  | heap_kb  uptime_s
21:12:18 450      | ok          -           | ok        200     53.5          69.6          | -         -       -             -             25           | 0          | -             -          -            | 8069     497     
21:12:23 455      | ok          -           | ok        200     10.5          27.6          | ok        200     8.9           58.9          0            | 0          | -             -          -            | 8065     527     
21:12:28 460      | fail        -           | fail      000     0.0           2004.3        | -         -       -             -             5            | 0          | -             -          -            | 8065     527     
21:12:36 468      | ok          -           | ok        200     11.2          46.7          | -         -       -             -             10           | 0          | -             -          -            | 8065     527     
21:12:42 474      | ok          -           | ok        200     89.0          122.1         | -         -       -             -             15           | 0          | -             -          -            | 8065     527     
21:12:47 479      | fail        -           | fail      000     0.0           2004.6        | -         -       -             -             20           | 0          | -             -          -            | 8065     527     
21:12:55 487      | ok          -           | ok        200     12.8          59.2          | ok        200     7.1           42.1          0            | 0          | -             -          -            | 8062     559     
21:13:00 492      | ok          -           | ok        200     8.6           100.5         | -         -       -             -             5            | 0          | -             -          -            | 8062     559     
21:13:06 498      | ok          -           | ok        200     20.7          36.6          | -         -       -             -             10           | 0          | -             -          -            | 8062     559     
21:13:11 503      | ok          -           | ok        200     18.0          41.5          | -         -       -             -             15           | 0          | -             -          -            | 8062     559     
21:13:16 508      | ok          -           | ok        200     8.3           103.7         | -         -       -             -             20           | 0          | -             -          -            | 8062     559     
21:13:21 513      | ok          -           | ok        200     25.4          43.9          | -         -       -             -             25           | 0          | -             -          -            | 8062     559     
21:13:27 519      | ok          -           | ok        200     19.7          99.2          | ok        200     18.1          42.6          0            | 0          | -             -          -            | 8057     591     
21:13:32 524      | ok          -           | ok        200     11.8          32.3          | -         -       -             -             5            | 0          | -             -          -            | 8057     591     
21:13:37 529      | ok          -           | ok        200     7.9           33.5          | -         -       -             -             10           | 0          | -             -          -            | 8057     591     
21:13:42 534      | ok          -           | ok        200     7.7           36.0          | -         -       -             -             15           | 0          | -             -          -            | 8057     591     
21:13:47 539      | ok          -           | ok        200     145.6         500.0         | -         -       -             -             20           | 0          | -             -          -            | 8057     591     
21:13:54 546      | ok          -           | ok        200     25.9          41.7          | -         -       -             -             25           | 0          | -             -          -            | 8057     591     
21:13:59 551      | ok          -           | ok        200     12.8          32.9          | ok        200     17.1          35.8          0            | 0          | -             -          -            | 8053     623     
21:14:04 556      | ok          -           | ok        200     9.1           26.8          | -         -       -             -             5            | 0          | -             -          -            | 8053     623     
21:14:09 561      | fail        -           | fail      000     0.0           2005.0        | -         -       -             -             10           | 0          | -             -          -            | 8053     623     
21:14:17 569      | ok          -           | ok        200     11.0          32.3          | -         -       -             -             15           | 0          | -             -          -            | 8053     623     
21:14:22 574      | ok          -           | ok        200     7.5           24.6          | -         -       -             -             20           | 0          | -             -          -            | 8053     623     
21:14:27 579      | ok          -           | ok        200     7.7           29.6          | -         -       -             -             25           | 0          | -             -          -            | 8053     623     
21:14:33 585      | ok          -           | ok        200     11.1          38.5          | ok        200     17.4          36.8          0            | 0          | -             -          -            | 8049     657     
21:14:38 590      | ok          -           | ok        200     25.9          116.3         | -         -       -             -             5            | 0          | -             -          -            | 8049     657     
21:14:43 595      | fail        -           | fail      000     0.0           2004.6        | -         -       -             -             10           | 0          | -             -          -            | 8049     657     
