ts	elapsed_s	icmp_status	icmp_rtt_ms	hp_status	hp_code	hp_connect_ms	hp_total_ms	hl_status	hl_code	hl_connect_ms	hl_total_ms	health_age_s	sse_bytes	wifi_rssi_dbm	wifi_disc	wifi_reconn	heap_kb	uptime_s
09:55:58	0	fail	-	fail	000	0.0	2006.3	fail	000	0.0	2006.5	0	38	-	-	-	-	-
09:56:10	12	ok	-	fail	000	0.0	1018.9	-	-	-	-	5	0	-	-	-	-	-
09:56:17	19	ok	-	fail	000	0.0	2007.1	-	-	-	-	10	95	-	-	-	-	-
09:56:25	27	ok	-	ok	200	20.1	61.3	-	-	-	-	15	0	-	-	-	-	-
09:56:32	34	ok	-	ok	200	16.4	43.6	ok	200	17.9	44.9	0	0	-60	0	1	8129	52
09:56:39	41	ok	-	ok	200	16.0	41.1	-	-	-	-	5	0	-60	0	1	8129	52
09:56:45	47	ok	-	ok	200	13.7	40.6	-	-	-	-	10	0	-60	0	1	8129	52
09:56:52	54	ok	-	ok	200	16.0	75.0	-	-	-	-	15	0	-60	0	1	8129	52
09:56:58	60	ok	-	ok	200	17.7	42.3	-	-	-	-	20	0	-60	0	1	8129	52
09:57:04	66	ok	-	ok	200	33.1	59.3	ok	200	16.8	45.5	0	0	-61	0	1	8109	84
09:57:11	73	ok	-	ok	200	15.7	51.6	-	-	-	-	5	0	-61	0	1	8109	84
09:57:17	79	ok	-	ok	200	12.9	36.8	-	-	-	-	10	0	-61	0	1	8109	84
09:57:23	85	ok	-	ok	200	13.5	36.4	-	-	-	-	15	0	-61	0	1	8109	84
09:57:30	92	ok	-	ok	200	19.7	42.7	-	-	-	-	20	0	-61	0	1	8109	84
09:57:36	98	ok	-	ok	200	17.1	57.8	ok	200	18.6	48.1	0	0	-61	0	1	8103	116
09:57:43	105	ok	-	ok	200	19.0	62.8	-	-	-	-	5	0	-61	0	1	8103	116
09:57:49	111	ok	-	ok	200	14.6	42.5	-	-	-	-	10	0	-61	0	1	8103	116
09:57:55	117	ok	-	ok	200	16.3	37.7	-	-	-	-	15	0	-61	0	1	8103	116
09:58:01	123	ok	-	ok	200	27.0	78.8	-	-	-	-	20	0	-61	0	1	8103	116
09:58:08	130	ok	-	ok	200	16.5	48.4	ok	200	27.7	61.1	0	0	-60	0	1	8087	148
09:58:15	137	ok	-	ok	200	15.2	55.9	-	-	-	-	5	0	-60	0	1	8087	148
09:58:21	143	ok	-	ok	200	21.4	45.2	-	-	-	-	10	0	-60	0	1	8087	148
09:58:27	149	ok	-	ok	200	11.1	57.2	-	-	-	-	15	0	-60	0	1	8087	148
09:58:33	155	ok	-	ok	200	32.6	73.4	-	-	-	-	20	0	-60	0	1	8087	148
09:58:40	162	ok	-	ok	200	18.5	55.5	ok	200	16.1	48.3	0	0	-62	0	1	8081	180
09:58:47	169	ok	-	ok	200	18.1	60.7	-	-	-	-	5	0	-62	0	1	8081	180
09:58:53	175	ok	-	ok	200	22.7	69.3	-	-	-	-	10	0	-62	0	1	8081	180
09:58:59	181	ok	-	ok	200	11.7	34.5	-	-	-	-	15	0	-62	0	1	8081	180
09:59:05	187	ok	-	ok	200	16.3	52.6	-	-	-	-	20	0	-62	0	1	8081	180
09:59:12	194	ok	-	ok	200	12.7	36.0	ok	200	11.2	39.9	0	0	-59	0	1	8076	212
09:59:19	201	ok	-	ok	200	14.9	38.1	-	-	-	-	5	0	-59	0	1	8076	212
09:59:25	207	ok	-	ok	200	12.8	48.6	-	-	-	-	10	0	-59	0	1	8076	212
09:59:31	213	ok	-	ok	200	11.5	36.4	-	-	-	-	15	0	-59	0	1	8076	212
09:59:37	219	ok	-	ok	200	14.5	39.1	-	-	-	-	20	0	-59	0	1	8076	212
09:59:43	225	ok	-	ok	200	23.1	63.2	ok	200	13.0	59.5	0	0	-60	0	1	8073	244
09:59:51	233	ok	-	ok	200	16.9	69.4	-	-	-	-	5	0	-60	0	1	8073	244
09:59:57	239	ok	-	ok	200	12.4	52.1	-	-	-	-	10	0	-60	0	1	8073	244
10:00:03	245	ok	-	ok	200	11.4	37.6	-	-	-	-	15	0	-60	0	1	8073	244
10:00:09	251	ok	-	ok	200	14.1	37.1	-	-	-	-	20	0	-60	0	1	8073	244
10:00:15	257	ok	-	ok	200	12.8	38.7	ok	200	23.3	50.5	0	0	-73	0	1	8069	276
10:00:23	265	ok	-	ok	200	23.9	59.7	-	-	-	-	5	0	-73	0	1	8069	276
10:00:29	271	ok	-	ok	200	11.0	45.0	-	-	-	-	10	0	-73	0	1	8069	276
10:00:35	277	ok	-	ok	200	29.6	64.5	-	-	-	-	15	0	-73	0	1	8069	276
10:00:41	283	ok	-	ok	200	24.8	68.2	-	-	-	-	20	0	-73	0	1	8069	276
10:00:47	289	ok	-	ok	200	13.2	38.2	ok	200	17.3	52.3	0	0	-73	0	1	8064	308
10:00:54	296	ok	-	ok	200	17.6	43.0	-	-	-	-	5	0	-73	0	1	8064	308
10:01:01	303	ok	-	ok	200	40.0	79.2	-	-	-	-	10	0	-73	0	1	8064	308
10:01:07	309	ok	-	ok	200	20.1	55.0	-	-	-	-	15	0	-73	0	1	8064	308
10:01:13	315	ok	-	ok	200	20.1	50.2	-	-	-	-	20	0	-73	0	1	8064	308
10:01:19	321	ok	-	ok	200	11.7	48.6	ok	200	17.8	79.0	0	0	-72	0	1	8060	340
10:01:26	328	ok	-	ok	200	14.4	62.0	-	-	-	-	5	0	-72	0	1	8060	340
10:01:33	335	ok	-	ok	200	21.7	54.5	-	-	-	-	10	0	-72	0	1	8060	340
10:01:39	341	ok	-	ok	200	19.0	59.5	-	-	-	-	15	0	-72	0	1	8060	340
10:01:45	347	ok	-	ok	200	33.6	68.2	-	-	-	-	20	0	-72	0	1	8060	340
10:01:51	353	ok	-	ok	200	17.0	39.9	ok	200	18.0	75.2	0	0	-70	0	1	8056	372
10:01:58	360	ok	-	ok	200	11.8	39.8	-	-	-	-	5	0	-70	0	1	8056	372
10:02:05	367	ok	-	ok	200	27.5	63.3	-	-	-	-	10	0	-70	0	1	8056	372
10:02:11	373	ok	-	ok	200	11.8	45.6	-	-	-	-	15	0	-70	0	1	8056	372
10:02:17	379	ok	-	ok	200	14.9	67.9	-	-	-	-	20	0	-70	0	1	8056	372
10:02:23	385	ok	-	ok	200	20.0	53.9	ok	200	11.2	47.2	0	0	-69	0	1	8053	404
10:02:30	392	ok	-	ok	200	39.9	149.4	-	-	-	-	5	0	-69	0	1	8053	404
10:02:37	399	ok	-	ok	200	11.8	40.8	-	-	-	-	10	0	-69	0	1	8053	404
10:02:43	405	ok	-	ok	200	28.8	53.4	-	-	-	-	15	0	-69	0	1	8053	404
10:02:49	411	ok	-	ok	200	56.8	160.8	-	-	-	-	20	0	-69	0	1	8053	404
10:02:55	417	ok	-	ok	200	21.4	45.3	ok	200	20.2	156.1	0	0	-69	0	1	8048	436
10:03:02	424	ok	-	ok	200	32.7	137.3	-	-	-	-	5	0	-69	0	1	8048	436
10:03:09	431	ok	-	ok	200	30.0	67.7	-	-	-	-	10	0	-69	0	1	8048	436
10:03:15	437	ok	-	ok	200	37.6	99.3	-	-	-	-	15	0	-69	0	1	8048	436
10:03:21	443	ok	-	ok	200	12.0	46.6	-	-	-	-	20	0	-69	0	1	8048	436
10:03:27	449	ok	-	ok	200	12.4	56.3	ok	200	12.4	43.5	0	0	-67	0	1	8044	468
10:03:35	457	ok	-	ok	200	25.1	87.0	-	-	-	-	5	0	-67	0	1	8044	468
10:03:41	463	ok	-	ok	200	10.1	34.0	-	-	-	-	10	0	-67	0	1	8044	468
10:03:47	469	ok	-	ok	200	15.4	36.4	-	-	-	-	15	0	-67	0	1	8044	468
10:03:53	475	ok	-	ok	200	21.3	47.3	-	-	-	-	20	0	-67	0	1	8044	468
10:03:59	481	ok	-	ok	200	36.2	93.5	ok	200	26.7	1554.7	0	0	-71	0	1	8040	500
10:04:08	490	ok	-	ok	200	25.0	48.8	-	-	-	-	5	0	-71	0	1	8040	500
10:04:14	496	ok	-	ok	200	20.6	60.5	-	-	-	-	10	0	-71	0	1	8040	500
10:04:20	502	ok	-	ok	200	18.1	51.3	-	-	-	-	15	0	-71	0	1	8040	500
10:04:27	509	ok	-	ok	200	29.7	106.8	-	-	-	-	20	0	-71	0	1	8040	500
10:04:33	515	ok	-	ok	200	23.3	56.5	ok	200	12.2	74.0	0	0	-69	0	1	8036	533
10:04:40	522	ok	-	ok	200	29.7	73.7	-	-	-	-	5	0	-69	0	1	8036	533
10:04:46	528	ok	-	ok	200	14.8	50.1	-	-	-	-	10	0	-69	0	1	8036	533
10:04:53	535	ok	-	ok	200	16.0	53.3	-	-	-	-	15	0	-69	0	1	8036	533
10:04:59	541	ok	-	ok	200	12.2	49.6	-	-	-	-	20	0	-69	0	1	8036	533
10:05:05	547	ok	-	ok	200	13.4	44.6	ok	200	12.2	38.2	0	0	-66	0	1	8032	565
10:05:12	554	ok	-	ok	200	15.6	38.6	-	-	-	-	5	0	-66	0	1	8032	565
10:05:18	560	ok	-	ok	200	12.1	35.7	-	-	-	-	10	0	-66	0	1	8032	565
10:05:24	566	ok	-	ok	200	20.8	45.5	-	-	-	-	15	0	-66	0	1	8032	565
10:05:31	572	ok	-	ok	200	24.6	58.5	-	-	-	-	20	0	-66	0	1	8032	565
10:05:37	579	ok	-	ok	200	35.7	109.2	ok	200	49.8	132.5	0	0	-64	0	1	8028	597
10:05:44	586	ok	-	ok	200	18.2	50.4	-	-	-	-	5	0	-64	0	1	8028	597
10:05:50	592	ok	-	ok	200	12.6	38.6	-	-	-	-	10	0	-64	0	1	8028	597
10:05:56	598	ok	-	ok	200	19.7	56.0	-	-	-	-	15	0	-64	0	1	8028	597
