ts	elapsed_s	icmp_status	icmp_rtt_ms	hp_status	hp_code	hp_connect_ms	hp_total_ms	hl_status	hl_code	hl_connect_ms	hl_total_ms	health_age_s	sse_bytes	wifi_rssi_dbm	wifi_disc	wifi_reconn	heap_kb	uptime_s
21:28:58	0	fail	-	fail	000	0.0	2006.1	fail	000	0.0	2006.5	0	38	-	-	-	-	-
21:29:08	10	fail	-	fail	000	0.0	2005.7	-	-	-	-	5	0	-	-	-	-	-
21:29:16	18	ok	-	fail	000	0.0	1024.6	-	-	-	-	10	0	-	-	-	-	-
21:29:22	24	ok	-	fail	000	0.0	1042.0	-	-	-	-	15	0	-	-	-	-	-
21:29:29	31	fail	-	fail	000	0.0	1056.5	fail	000	0.0	2003.0	0	0	-	-	-	-	-
21:29:38	40	ok	-	fail	000	19.5	4004.3	-	-	-	-	5	1476	-	-	-	-	-
21:29:47	49	ok	-	fail	000	19.0	4002.7	-	-	-	-	10	1682	-	-	-	-	-
21:29:56	58	ok	-	fail	000	0.0	2006.6	-	-	-	-	15	1442	-	-	-	-	-
21:30:03	65	ok	-	fail	000	0.0	2002.6	fail	000	0.0	2003.9	0	2124	-	-	-	-	-
21:30:12	74	ok	-	fail	000	0.0	2003.3	-	-	-	-	5	1498	-	-	-	-	-
21:30:19	81	ok	-	fail	000	0.0	2005.0	-	-	-	-	10	1498	-	-	-	-	-
21:30:27	89	ok	-	fail	000	0.0	2006.3	-	-	-	-	15	1484	-	-	-	-	-
21:30:34	96	ok	-	fail	000	0.0	2005.1	fail	000	0.0	2002.2	0	1924	-	-	-	-	-
21:30:43	105	ok	-	fail	000	0.0	2002.4	-	-	-	-	5	1456	-	-	-	-	-
21:30:50	112	ok	-	fail	000	0.0	2004.7	-	-	-	-	10	1470	-	-	-	-	-
21:30:57	119	ok	-	fail	000	73.7	87.8	-	-	-	-	15	1014	-	-	-	-	-
21:31:02	124	ok	-	fail	000	16.7	31.6	-	-	-	-	20	1042	-	-	-	-	-
21:31:07	129	ok	-	fail	000	20.0	30.6	fail	000	19.0	32.6	0	1268	-	-	-	-	-
21:31:13	134	ok	-	fail	000	11.0	32.4	-	-	-	-	5	1070	-	-	-	-	-
21:31:18	140	ok	-	fail	000	11.5	28.3	-	-	-	-	10	1056	-	-	-	-	-
21:31:23	145	ok	-	fail	000	17.8	87.1	-	-	-	-	15	1028	-	-	-	-	-
21:31:28	150	ok	-	fail	000	12.3	38.7	-	-	-	-	20	1042	-	-	-	-	-
21:31:33	155	ok	-	fail	000	15.8	54.6	-	-	-	-	25	1042	-	-	-	-	-
21:31:38	160	ok	-	fail	000	6.9	19.9	fail	000	38.5	50.4	0	1026	-	-	-	-	-
21:31:43	165	ok	-	fail	000	24.1	30.4	-	-	-	-	5	1028	-	-	-	-	-
21:31:49	171	ok	-	fail	000	29.8	39.1	-	-	-	-	10	814	-	-	-	-	-
21:31:54	176	fail	-	fail	000	349.7	359.9	-	-	-	-	15	1600	-	-	-	-	-
21:32:00	182	ok	-	fail	000	67.8	80.4	-	-	-	-	20	1042	-	-	-	-	-
21:32:05	187	ok	-	fail	000	13.5	22.6	-	-	-	-	25	1054	-	-	-	-	-
21:32:11	193	ok	-	fail	000	15.8	39.7	fail	000	12.7	27.7	0	1284	-	-	-	-	-
21:32:16	198	ok	-	fail	000	27.0	32.4	-	-	-	-	5	1070	-	-	-	-	-
21:32:21	203	ok	-	fail	000	27.3	34.2	-	-	-	-	10	1056	-	-	-	-	-
21:32:26	208	ok	-	fail	000	7.4	35.5	-	-	-	-	15	1042	-	-	-	-	-
21:32:31	213	ok	-	fail	000	20.4	33.7	-	-	-	-	20	1056	-	-	-	-	-
21:32:36	218	ok	-	fail	000	23.1	30.1	-	-	-	-	25	1040	-	-	-	-	-
21:32:41	223	ok	-	fail	000	24.1	43.6	fail	000	55.4	69.9	0	1070	-	-	-	-	-
21:32:47	229	ok	-	fail	000	19.0	33.8	-	-	-	-	5	1042	-	-	-	-	-
21:32:52	234	ok	-	fail	000	1015.6	1026.5	-	-	-	-	10	1470	-	-	-	-	-
21:32:58	240	ok	-	fail	000	14.8	21.3	-	-	-	-	15	1042	-	-	-	-	-
21:33:03	245	ok	-	fail	000	6.6	14.8	-	-	-	-	20	1042	-	-	-	-	-
21:33:08	250	ok	-	fail	000	25.3	40.4	-	-	-	-	25	1082	-	-	-	-	-
21:33:13	255	ok	-	fail	000	65.4	132.7	fail	000	11.6	21.5	0	1070	-	-	-	-	-
21:33:19	261	ok	-	fail	000	17.5	25.4	-	-	-	-	5	1014	-	-	-	-	-
21:33:24	266	ok	-	fail	000	8.7	21.7	-	-	-	-	10	1056	-	-	-	-	-
21:33:29	271	ok	-	fail	000	9.9	18.2	-	-	-	-	15	1256	-	-	-	-	-
21:33:34	276	ok	-	fail	000	7.4	40.8	-	-	-	-	20	1040	-	-	-	-	-
21:33:39	281	fail	-	fail	000	19.5	24.3	-	-	-	-	25	1270	-	-	-	-	-
21:33:45	287	ok	-	fail	000	11.3	26.8	fail	000	14.6	22.5	0	1028	-	-	-	-	-
21:33:50	292	ok	-	fail	000	24.5	34.2	-	-	-	-	5	1042	-	-	-	-	-
21:33:56	298	ok	-	fail	000	13.9	21.3	-	-	-	-	10	1014	-	-	-	-	-
21:34:01	303	ok	-	fail	000	42.9	81.3	-	-	-	-	15	1028	-	-	-	-	-
21:34:06	308	ok	-	fail	000	8.5	24.3	-	-	-	-	20	1040	-	-	-	-	-
21:34:11	313	ok	-	fail	000	27.0	38.5	-	-	-	-	25	1284	-	-	-	-	-
21:34:16	318	ok	-	fail	000	10.0	16.5	fail	000	7.3	14.0	0	1056	-	-	-	-	-
21:34:21	323	ok	-	fail	000	38.1	50.2	-	-	-	-	5	1056	-	-	-	-	-
21:34:26	328	ok	-	fail	000	15.6	22.6	-	-	-	-	10	1042	-	-	-	-	-
21:34:32	334	ok	-	fail	000	8.6	21.2	-	-	-	-	15	1028	-	-	-	-	-
21:34:37	339	ok	-	ok	200	22.6	44.7	-	-	-	-	20	612	-	-	-	-	-
21:34:42	344	ok	-	ok	200	8.0	37.2	-	-	-	-	25	0	-	-	-	-	-
