ts	code	connect_ms	total_ms
18:44:40	000	0.018289	4.002271
18:44:54	000	0.011618	4.006501
18:45:01	000	0.000000	2.007001
18:45:09	000	0.000000	2.004444
18:45:19	000	0.000000	2.006336
18:45:27	000	0.000000	2.004698
18:45:34	000	0.000000	2.006207
18:45:41	000	0.000000	2.003451
18:45:50	000	1.013945	1.046634
18:45:58	000	0.000000	2.006389
18:46:05	000	0.656250	0.670957
18:46:11	000	0.015711	0.029603
18:46:18	000	0.853884	0.879824
18:46:23	000	0.011699	0.045622
18:46:28	000	0.125322	0.152332
18:46:34	000	0.033010	0.043071
18:46:39	000	0.021310	0.034318
18:46:44	000	0.027109	0.044211
18:46:52	000	0.000000	2.007006
18:47:00	000	0.000000	2.006855
18:47:08	000	0.000000	2.003714
18:47:16	000	0.000000	2.006742
18:47:24	000	0.000000	2.003206
18:47:34	000	0.000000	2.004935
18:47:42	000	0.000000	2.006916
18:47:50	000	0.000000	2.007008
18:47:58	000	0.000000	2.006427
18:48:09	000	0.000000	2.006243
18:48:15	000	0.000000	0.002340
18:48:21	000	0.000000	0.001833
18:48:27	000	0.000000	1.014696
18:48:36	000	0.000000	2.008978
18:48:44	200	1.585860	1.718544
18:48:49	200	0.012464	0.060319
18:48:54	200	0.012050	0.050470
18:48:59	200	0.022946	0.109205
18:49:04	200	0.013158	0.049611
18:49:09	200	0.012122	0.068192
18:49:14	200	0.011752	0.072989
18:49:20	200	0.012992	0.071216
18:49:26	200	0.197405	0.233470
18:49:34	000	0.000000	2.008206
18:49:40	200	0.021032	0.052524
18:49:45	200	0.022800	0.053684
18:49:53	000	0.000000	2.007021
18:49:58	200	0.020105	0.064122
18:50:04	200	0.024564	0.058361
18:50:09	200	0.019904	0.058372
18:50:14	200	0.021342	0.056777
18:50:21	000	0.000000	2.006891
18:50:26	200	0.016711	0.064784
18:50:31	200	0.010265	0.051477
18:50:36	200	0.032907	0.057634
18:50:45	000	0.000000	2.001784
18:50:53	000	0.000000	2.005880
18:50:59	200	1.116383	1.415343
18:51:04	200	0.020886	0.056018
18:51:14	000	0.126720	4.005969
18:51:24	000	0.000000	2.006742
18:51:30	200	0.012706	0.101080
18:51:38	000	0.000000	2.004783
18:51:43	200	0.011235	0.041946
18:51:50	200	1.279367	1.322184
18:51:55	200	0.012981	0.050155
18:52:03	000	0.000000	2.003936
18:52:08	200	0.018181	0.062835
18:52:14	200	0.014641	0.057378
18:52:23	200	0.012233	4.005805
18:52:28	200	0.062997	0.123089
18:52:36	200	1.404794	1.440276
18:52:41	200	0.012763	0.047932
18:52:46	200	0.025006	0.085727
18:52:51	200	0.048956	0.087225
18:52:59	000	0.000000	2.005656
18:53:04	200	0.012292	0.060715
18:53:12	000	0.000000	2.003170
18:53:20	000	0.000000	2.005328
18:53:29	000	0.000000	2.006097
18:53:34	200	0.011723	0.053565
18:53:39	200	0.017790	0.059612
18:53:44	200	0.142850	0.168002
18:53:51	200	1.033181	1.171545
