ts	elapsed_s	icmp_status	icmp_rtt_ms	hp_status	hp_code	hp_connect_ms	hp_total_ms	hl_status	hl_code	hl_connect_ms	hl_total_ms	health_age_s	sse_bytes	wifi_rssi_dbm	wifi_disc	wifi_reconn	heap_kb	uptime_s
08:14:33	0	ok	-	fail	000	0.0	1020.7	fail	000	0.0	1011.3	0	132	-	-	-	-	-
08:14:43	10	fail	-	fail	000	0.0	2004.2	-	-	-	-	5	0	-	-	-	-	-
08:14:52	19	ok	-	ok	200	7.7	25.7	-	-	-	-	10	0	-	-	-	-	-
08:14:58	25	ok	-	ok	200	19.8	38.7	-	-	-	-	15	0	-	-	-	-	-
08:15:05	32	ok	-	ok	200	12.7	53.9	ok	200	9.7	28.1	0	0	-67	0	0	8115	60
08:15:12	39	ok	-	ok	200	19.9	37.9	-	-	-	-	5	0	-67	0	0	8115	60
08:15:18	45	ok	-	ok	200	22.7	37.9	-	-	-	-	10	0	-67	0	0	8115	60
08:15:24	51	ok	-	ok	200	8.7	39.9	-	-	-	-	15	0	-67	0	0	8115	60
08:15:30	57	ok	-	ok	200	9.1	46.3	-	-	-	-	20	0	-67	0	0	8115	60
08:15:36	63	ok	-	ok	200	19.1	49.5	ok	200	20.1	39.4	0	0	-67	0	0	8108	92
08:15:44	71	ok	-	ok	200	45.2	73.2	-	-	-	-	5	0	-67	0	0	8108	92
08:15:50	77	ok	-	ok	200	13.4	32.3	-	-	-	-	10	0	-67	0	0	8108	92
08:15:56	83	ok	-	ok	200	11.2	28.0	-	-	-	-	15	0	-67	0	0	8108	92
08:16:02	89	ok	-	ok	200	14.2	30.4	-	-	-	-	20	0	-67	0	0	8108	92
08:16:08	95	ok	-	ok	200	18.7	48.7	ok	200	7.1	26.9	0	0	-67	0	0	8102	123
08:16:15	102	ok	-	ok	200	11.8	55.6	-	-	-	-	5	0	-67	0	0	8102	123
08:16:22	109	ok	-	ok	200	11.2	36.9	-	-	-	-	10	0	-67	0	0	8102	123
08:16:28	115	ok	-	ok	200	11.7	31.8	-	-	-	-	15	0	-67	0	0	8102	123
