ts       elapsed  | icmp_status icmp_rtt    | hp_status hp_code hp_connect_ms hp_total_ms   | hl_status hl_code hl_connect_ms hl_total_ms   health_age_s | sse_bytes  | wifi_rssi_dbm wifi_disc  wifi_reconn  | heap_kb  uptime_s
-------- -------- | ----------- ----------- | --------- ------- ------------- ------------- | --------- ------- ------------- ------------- ------------ | ---------- | ------------- ---------- ------------ | -------- --------
20:46:01 0        | ok          -           | fail      000     24.4          4004.2        | fail      000     1536.3        5005.0        0            | 1318       | -             -          -            | -        -       
20:46:15 14       | ok          -           | fail      000     1305.0        4006.6        | -         -       -             -             5            | 1586       | -             -          -            | -        -       
20:46:24 23       | ok          -           | fail      000     0.0           2006.1        | -         -       -             -             10           | 1099       | -             -          -            | -        -       
20:46:31 30       | ok          -           | fail      000     0.0           2006.7        | fail      000     0.0           2004.2        0            | 958        | -             -          -            | -        -       
20:46:40 39       | ok          -           | fail      000     0.0           2002.9        | -         -       -             -             5            | 1628       | -             -          -            | -        -       
20:46:47 46       | ok          -           | fail      000     0.0           2001.2        | -         -       -             -             10           | 1127       | -             -          -            | -        -       
20:46:54 53       | ok          -           | fail      000     0.0           2006.7        | -         -       -             -             15           | 1113       | -             -          -            | -        -       
20:47:01 60       | ok          -           | fail      000     0.0           2006.8        | fail      000     0.0           2004.0        0            | 819        | -             -          -            | -        -       
20:47:11 70       | ok          -           | fail      000     9.5           15.4          | -         -       -             -             5            | 1475       | -             -          -            | -        -       
20:47:16 75       | ok          -           | fail      000     7.7           27.8          | -         -       -             -             10           | 807        | -             -          -            | -        -       
20:47:21 80       | ok          -           | fail      000     87.1          106.0         | -         -       -             -             15           | 988        | -             -          -            | -        -       
20:47:26 85       | ok          -           | fail      000     10.4          16.2          | -         -       -             -             20           | 835        | -             -          -            | -        -       
20:47:31 90       | ok          -           | fail      000     9.8           16.8          | fail      000     7.7           12.9          0            | 847        | -             -          -            | -        -       
20:47:36 95       | ok          -           | fail      000     8.9           14.3          | -         -       -             -             5            | 807        | -             -          -            | -        -       
20:47:41 100      | ok          -           | fail      000     7.1           24.0          | -         -       -             -             10           | 821        | -             -          -            | -        -       
20:47:46 105      | ok          -           | fail      000     25.2          42.1          | -         -       -             -             15           | 807        | -             -          -            | -        -       
20:47:51 110      | ok          -           | fail      000     19.9          40.3          | -         -       -             -             20           | 807        | -             -          -            | -        -       
20:47:57 116      | fail        -           | fail      000     89.0          98.5          | -         -       -             -             25           | 988        | -             -          -            | -        -       
20:48:03 122      | ok          -           | fail      000     8.1           13.3          | fail      000     13.5          21.9          0            | 833        | -             -          -            | -        -       
20:48:08 127      | ok          -           | fail      000     6.6           12.3          | -         -       -             -             5            | 821        | -             -          -            | -        -       
20:48:13 132      | ok          -           | fail      000     27.9          35.4          | -         -       -             -             10           | 960        | -             -          -            | -        -       
20:48:18 137      | fail        -           | fail      000     102.0         123.8         | -         -       -             -             15           | 974        | -             -          -            | -        -       
20:48:24 143      | ok          -           | fail      000     6.5           12.3          | -         -       -             -             20           | 807        | -             -          -            | -        -       
20:48:29 148      | ok          -           | fail      000     11.0          16.5          | -         -       -             -             25           | 817        | -             -          -            | -        -       
20:48:34 153      | ok          -           | fail      000     17.2          22.3          | fail      000     7.2           34.5          0            | 830        | -             -          -            | -        -       
20:48:40 159      | ok          -           | fail      000     7.1           54.3          | -         -       -             -             5            | 807        | -             -          -            | -        -       
20:48:45 164      | ok          -           | fail      000     7.6           30.4          | -         -       -             -             10           | 821        | -             -          -            | -        -       
20:48:50 169      | ok          -           | fail      000     6.9           12.2          | -         -       -             -             15           | 988        | -             -          -            | -        -       
20:48:56 175      | ok          -           | fail      000     12.4          25.5          | -         -       -             -             20           | 793        | -             -          -            | -        -       
20:49:01 180      | ok          -           | fail      000     36.5          42.9          | -         -       -             -             25           | 821        | -             -          -            | -        -       
20:49:06 185      | fail        -           | fail      000     472.9         479.2         | fail      000     8.8           30.8          0            | 1167       | -             -          -            | -        -       
20:49:13 192      | ok          -           | fail      000     19.6          41.5          | -         -       -             -             5            | 821        | -             -          -            | -        -       
20:49:18 197      | ok          -           | fail      000     14.9          20.1          | -         -       -             -             10           | 835        | -             -          -            | -        -       
20:49:23 202      | ok          -           | fail      000     6.5           15.4          | -         -       -             -             15           | 807        | -             -          -            | -        -       
20:49:28 207      | ok          -           | fail      000     7.6           16.2          | -         -       -             -             20           | 821        | -             -          -            | -        -       
20:49:33 212      | ok          -           | fail      000     6.9           13.0          | -         -       -             -             25           | 958        | -             -          -            | -        -       
20:49:38 217      | ok          -           | fail      000     18.4          25.7          | fail      000     7.2           39.0          0            | 765        | -             -          -            | -        -       
20:49:43 222      | ok          -           | fail      000     13.6          37.0          | -         -       -             -             5            | 821        | -             -          -            | -        -       
20:49:49 228      | ok          -           | fail      000     7.2           14.7          | -         -       -             -             10           | 821        | -             -          -            | -        -       
