ts	elapsed_s	icmp_status	icmp_rtt_ms	hp_status	hp_code	hp_connect_ms	hp_total_ms	hl_status	hl_code	hl_connect_ms	hl_total_ms	health_age_s	sse_bytes	wifi_rssi_dbm	wifi_disc	wifi_reconn	heap_kb	uptime_s
20:38:40	0	ok	-	fail	000	6.3	16.2	fail	000	7.2	13.7	0	88	-	-	-	-	-
20:38:45	5	ok	-	fail	000	7.7	15.2	-	-	-	-	5	0	-	-	-	-	-
20:38:51	11	ok	-	fail	000	10.6	17.1	-	-	-	-	10	0	-	-	-	-	-
20:38:56	16	ok	-	fail	000	10.8	25.3	-	-	-	-	15	0	-	-	-	-	-
20:39:01	21	ok	-	fail	000	18.7	25.5	-	-	-	-	20	0	-	-	-	-	-
20:39:07	27	fail	-	fail	000	582.4	649.8	-	-	-	-	25	0	-	-	-	-	-
20:39:13	33	ok	-	ok	200	1406.1	1428.1	ok	200	7.6	24.7	0	0	-	-	-	7676	5035
20:39:20	40	ok	-	ok	200	6.8	49.2	-	-	-	-	5	0	-	-	-	7676	5035
20:39:25	45	ok	-	ok	200	8.3	92.5	-	-	-	-	10	0	-	-	-	7676	5035
20:39:30	50	ok	-	ok	200	15.5	55.6	-	-	-	-	15	0	-	-	-	7676	5035
20:39:35	55	ok	-	ok	200	20.1	66.5	-	-	-	-	20	0	-	-	-	7676	5035
20:39:40	60	ok	-	ok	200	20.7	45.0	-	-	-	-	25	0	-	-	-	7676	5035
20:39:46	66	ok	-	ok	200	6.9	24.0	ok	200	27.9	56.0	0	0	-	-	-	7674	5066
20:39:51	71	fail	-	fail	000	0.0	2006.1	-	-	-	-	5	0	-	-	-	7674	5066
20:39:59	79	ok	-	ok	200	17.1	34.2	-	-	-	-	10	0	-	-	-	7674	5066
20:40:04	84	ok	-	ok	200	13.1	31.4	-	-	-	-	15	0	-	-	-	7674	5066
20:40:09	89	fail	-	ok	200	114.3	151.8	-	-	-	-	20	0	-	-	-	7674	5066
20:40:15	95	ok	-	ok	200	21.5	54.9	-	-	-	-	25	0	-	-	-	7674	5066
20:40:21	101	fail	-	fail	000	0.0	2003.2	ok	200	771.6	790.6	0	0	-	-	-	7670	5105
20:40:30	110	ok	-	ok	200	74.8	111.9	-	-	-	-	5	0	-	-	-	7670	5105
20:40:35	115	ok	-	ok	200	7.6	22.1	-	-	-	-	10	0	-	-	-	7670	5105
20:40:40	120	ok	-	ok	200	12.3	26.9	-	-	-	-	15	0	-	-	-	7670	5105
20:40:45	125	fail	-	fail	000	0.0	2012.0	-	-	-	-	20	0	-	-	-	7670	5105
20:40:53	133	fail	-	ok	200	1389.4	1414.2	ok	200	7.1	34.9	0	0	-	-	-	7662	5136
20:41:01	141	ok	-	ok	200	9.7	25.2	-	-	-	-	5	0	-	-	-	7662	5136
20:41:06	146	ok	-	ok	200	12.8	29.9	-	-	-	-	10	0	-	-	-	7662	5136
20:41:11	151	ok	-	ok	200	27.1	54.0	-	-	-	-	15	0	-	-	-	7662	5136
20:41:16	156	ok	-	ok	200	8.5	27.9	-	-	-	-	20	0	-	-	-	7662	5136
20:41:21	161	ok	-	ok	200	46.1	73.1	-	-	-	-	25	0	-	-	-	7662	5136
20:41:26	166	fail	-	fail	000	0.0	2006.1	ok	200	1034.8	1076.5	0	0	-	-	-	7666	5171
20:41:36	176	ok	-	ok	200	7.9	36.7	-	-	-	-	5	0	-	-	-	7666	5171
