ts	code	connect_ms	total_ms
19:04:17	000	0.008648	5.006001
19:04:43	000	0.000000	2.005495
19:05:14	000	0.000000	2.007002
19:05:46	000	0.011420	0.018591
19:06:15	000	0.018940	0.029192
19:06:46	000	0.010734	0.031210
19:07:20	000	0.007859	0.014021
19:07:49	000	0.020605	0.025714
19:08:21	000	0.017948	0.025594
19:08:54	000	0.008867	0.026952
19:09:24	200	0.029419	0.050773
19:09:58	200	0.006613	0.044374
19:10:30	200	0.008757	0.039988
19:10:58	200	0.006916	0.031065
19:11:30	200	0.008433	0.079500
19:12:01	200	0.020612	0.036033
19:12:34	200	0.007685	0.044683
19:13:05	200	0.014383	0.044887
19:13:35	200	0.008143	0.043187
19:14:06	200	0.007474	0.034048
