ts       elapsed  | icmp_status icmp_rtt    | hp_status hp_code hp_connect_ms hp_total_ms   | hl_status hl_code hl_connect_ms hl_total_ms   health_age_s | sse_bytes  | wifi_rssi_dbm wifi_disc  wifi_reconn  | heap_kb  uptime_s
22:13:52 444      | ok          -           | fail      000     0.0           2001.6        | ok        200     51.8          99.6          0            | 0          | -73           0          0            | 8051     453     
22:14:01 453      | ok          -           | fail      000     0.0           2005.3        | -         -       -             -             5            | 0          | -73           0          0            | 8051     453     
22:14:09 461      | ok          -           | fail      000     0.0           2003.9        | -         -       -             -             10           | 0          | -73           0          0            | 8051     453     
22:14:17 469      | ok          -           | ok        200     19.4          40.2          | -         -       -             -             15           | 0          | -73           0          0            | 8051     453     
22:14:24 476      | ok          -           | ok        200     12.8          54.2          | ok        200     12.0          30.7          0            | 0          | -73           0          0            | 8047     483     
22:14:31 483      | fail        -           | fail      000     0.0           2004.4        | -         -       -             -             5            | 0          | -73           0          0            | 8047     483     
22:14:40 492      | ok          -           | ok        200     10.0          96.1          | -         -       -             -             10           | 0          | -73           0          0            | 8047     483     
22:14:46 498      | fail        -           | ok        200     1943.5        1967.0        | -         -       -             -             15           | 0          | -73           0          0            | 8047     483     
22:14:55 507      | ok          -           | fail      000     0.0           2003.3        | fail      000     0.0           2005.4        0            | 0          | -73           0          0            | 8047     483     
22:15:06 518      | ok          -           | ok        200     9.0           43.8          | -         -       -             -             5            | 0          | -73           0          0            | 8047     483     
22:15:13 524      | ok          -           | ok        200     7.7           38.8          | -         -       -             -             10           | 0          | -73           0          0            | 8047     483     
22:15:19 531      | ok          -           | ok        200     22.9          40.4          | -         -       -             -             15           | 0          | -73           0          0            | 8047     483     
22:15:25 537      | ok          -           | ok        200     21.5          39.5          | ok        200     21.3          1380.2        0            | 0          | -73           0          0            | 8039     544     
22:15:34 546      | ok          -           | ok        200     15.8          32.9          | -         -       -             -             5            | 0          | -73           0          0            | 8039     544     
22:15:40 552      | ok          -           | fail      000     0.0           2006.6        | -         -       -             -             10           | 0          | -73           0          0            | 8039     544     
22:15:48 560      | ok          -           | ok        200     16.6          2083.7        | -         -       -             -             15           | 0          | -73           0          0            | 8039     544     
22:15:56 568      | ok          -           | ok        200     34.6          60.5          | ok        200     44.9          66.9          0            | 0          | -73           0          0            | 8036     575     
22:16:03 575      | ok          -           | ok        200     9.1           29.3          | -         -       -             -             5            | 0          | -73           0          0            | 8036     575     
22:16:09 581      | ok          -           | ok        200     8.4           24.6          | -         -       -             -             10           | 0          | -73           0          0            | 8036     575     
22:16:16 588      | ok          -           | ok        200     21.4          45.2          | -         -       -             -             15           | 0          | -73           0          0            | 8036     575     
22:16:22 594      | ok          -           | ok        200     11.7          36.7          | -         -       -             -             20           | 0          | -73           0          0            | 8036     575     
