ts	elapsed_s	icmp_status	icmp_rtt_ms	hp_status	hp_code	hp_connect_ms	hp_total_ms	hl_status	hl_code	hl_connect_ms	hl_total_ms	health_age_s	sse_bytes	wifi_rssi_dbm	wifi_disc	wifi_reconn	heap_kb	uptime_s
02:26:24	0	fail	-	fail	000	0.0	2002.9	fail	000	0.0	2006.4	0	38	-	-	-	-	-
02:26:36	12	fail	-	fail	000	0.0	2004.4	-	-	-	-	5	0	-	-	-	-	-
02:26:45	21	fail	-	fail	000	0.0	1016.5	-	-	-	-	10	0	-	-	-	-	-
02:26:53	29	ok	-	fail	000	0.0	1014.0	-	-	-	-	15	0	-	-	-	-	-
02:27:01	37	fail	-	fail	000	0.0	2005.3	ok	200	16.4	65.7	0	0	-60	0	0	8134	45
02:27:11	47	ok	-	ok	200	29.3	59.6	-	-	-	-	5	0	-60	0	0	8134	45
02:27:17	53	ok	-	ok	200	17.0	52.1	-	-	-	-	10	0	-60	0	0	8134	45
02:27:23	59	ok	-	ok	200	17.5	83.8	-	-	-	-	15	0	-60	0	0	8134	45
02:27:29	65	ok	-	ok	200	18.7	45.1	-	-	-	-	20	0	-60	0	0	8134	45
02:27:36	72	ok	-	fail	000	27.6	4002.0	fail	000	42.3	5006.8	0	3197	-60	0	0	8134	45
02:27:52	88	ok	-	fail	000	0.0	2004.9	-	-	-	-	5	1678	-60	0	0	8134	45
02:28:00	96	ok	-	fail	000	0.0	2003.0	-	-	-	-	10	1662	-60	0	0	8134	45
02:28:08	104	ok	-	fail	000	0.0	2003.7	fail	000	0.0	2002.9	0	2337	-60	0	0	8134	45
02:28:19	115	ok	-	fail	000	0.0	2003.6	-	-	-	-	5	1678	-60	0	0	8134	45
02:28:27	123	ok	-	fail	000	0.0	2007.0	-	-	-	-	10	1622	-60	0	0	8134	45
02:28:35	131	ok	-	fail	000	0.0	2003.4	-	-	-	-	15	1933	-60	0	0	8134	45
02:28:43	139	ok	-	fail	000	0.0	2001.2	fail	000	18.1	30.4	0	1907	-60	0	0	8134	45
02:28:53	149	ok	-	fail	000	21.2	34.4	-	-	-	-	5	1276	-60	0	0	8134	45
02:28:59	155	ok	-	fail	000	11.2	27.6	-	-	-	-	10	1276	-60	0	0	8134	45
02:29:05	161	ok	-	fail	000	18.4	39.5	-	-	-	-	15	1288	-60	0	0	8134	45
02:29:11	167	ok	-	fail	000	24.6	38.4	-	-	-	-	20	1248	-60	0	0	8134	45
02:29:17	173	ok	-	fail	000	13.2	36.0	fail	000	11.3	22.9	0	1477	-60	0	0	8134	45
02:29:24	180	ok	-	fail	000	12.0	32.3	-	-	-	-	5	1248	-60	0	0	8134	45
02:29:30	186	ok	-	fail	000	11.4	36.3	-	-	-	-	10	1475	-60	0	0	8134	45
02:29:37	193	ok	-	fail	000	18.7	30.2	-	-	-	-	15	1248	-60	0	0	8134	45
02:29:43	199	ok	-	fail	000	17.8	28.8	-	-	-	-	20	1276	-60	0	0	8134	45
02:29:49	205	ok	-	fail	000	27.4	49.7	fail	000	11.7	74.3	0	1477	-60	0	0	8134	45
02:29:56	212	ok	-	fail	000	13.2	28.7	-	-	-	-	5	1206	-60	0	0	8134	45
02:30:02	218	ok	-	fail	000	19.7	31.0	-	-	-	-	10	1246	-60	0	0	8134	45
02:30:08	224	ok	-	fail	000	18.5	30.9	-	-	-	-	15	1206	-60	0	0	8134	45
